country,gdp,unemployment,youth_pct,internet_pct,polity,date,year,month,label,prev_events,log_gdp
Argentina,10588.263300300123,10.343370206065584,24.969587016512722,79.64053638230769,8.048930004239748,2021-01-01,2021,1,1,0,9.267595870576043
Argentina,10746.544692319965,8.57524941334251,24.980640224886614,80.41769182419436,7.821772595386395,2021-02-01,2021,2,1,1,9.282432606753972
Argentina,10732.46163716946,9.096433973953614,24.64551576471401,80.26265688004027,8.168467379568787,2021-03-01,2021,3,1,1,9.281121396566496
Argentina,10693.242960191172,8.274227664435994,25.003948144789966,80.00469683522574,7.913716855181558,2021-04-01,2021,4,1,1,9.277460834550315
Argentina,10735.564890979434,8.900642207871066,24.610589713157513,80.59375305936135,8.005297879944028,2021-05-01,2021,5,1,1,9.281410474349192
Argentina,10686.08116172318,9.57610931942125,24.723575172661086,80.38181230782935,7.975298735042276,2021-06-01,2021,6,1,1,9.276790922930717
Argentina,10638.597481950334,8.779513344213209,25.06248393022799,80.21053751356722,7.908666422903801,2021-07-01,2021,7,1,1,9.272337931536272
Argentina,10664.994326267713,8.549238895717409,24.669515276310523,80.27961528159744,7.981622980517326,2021-08-01,2021,8,1,1,9.274815859214758
Argentina,10817.057543197217,9.37144204212373,25.074541870049696,79.7576083566767,8.035838568428124,2021-09-01,2021,9,1,1,9.288972011625694
Argentina,10516.337305190853,8.66566576850268,24.71266816447364,79.9396087127293,7.915468097881728,2021-10-01,2021,10,1,1,9.260780346382905
Argentina,10535.46407433243,8.479564818597574,24.729729031350008,79.5638256842252,8.127648585143797,2021-11-01,2021,11,1,1,9.262597288991861
Argentina,10738.774582571516,8.983994809295979,24.84303128324368,80.14722714236366,7.96822305624018,2021-12-01,2021,12,1,1,9.28170937925521
Argentina,10732.653983070173,9.273240557229585,24.798930223699873,80.18558770917133,7.978651397964856,2022-01-01,2022,1,1,1,9.28113931661725
Argentina,10524.840497294248,8.123500596661053,25.250337919673786,79.68218675090358,7.910984719281728,2022-02-01,2022,2,1,1,9.26158851258727
Argentina,10552.735581579309,8.486726561073096,24.692109922349328,79.89752532154152,8.01414529047997,2022-03-01,2022,3,1,1,9.264235159793442
Argentina,10482.131585790774,8.349209145195843,24.959885832295495,79.55824226538725,8.086506726442858,2022-04-01,2022,4,1,1,9.257522728676642
Argentina,10743.523630609752,8.10428288559448,25.018920388554566,79.54706796518089,7.907257423479355,2022-05-01,2022,5,1,1,9.282151474041687
Argentina,10655.170000839076,8.538075989657385,24.821677894129305,79.66421984475953,7.895585596142619,2022-06-01,2022,6,1,1,9.27389434618511
Argentina,10582.147573710312,8.432212128733969,24.851083581999315,79.77422957381991,7.913056474279203,2022-07-01,2022,7,1,1,9.267018163408324
Argentina,10706.091012928178,8.200013815414442,25.114210326230864,80.36268524750872,7.975249992813158,2022-08-01,2022,8,1,1,9.278661512442323
Argentina,10543.584478783323,7.643904707288104,24.58395990056254,80.39353280355478,7.938199849778371,2022-09-01,2022,9,1,1,9.263367687564026
Argentina,10592.413966044613,8.37075236775456,25.13130581395046,79.56586775273597,8.043108719765723,2022-10-01,2022,10,1,1,9.267987763040383
Argentina,10813.420962358829,8.523436392364106,24.9081419568107,80.1238634995524,8.055030775532945,2022-11-01,2022,11,1,1,9.288635796718863
Argentina,10739.453165062212,8.670518864011584,24.816053233706974,80.13580480784753,7.971359444088217,2022-12-01,2022,12,1,1,9.281772561312579
Argentina,10539.660564842494,7.47635448663776,25.438408140482135,80.43836471836876,7.961012660461635,2023-01-01,2023,1,1,1,9.262995492317728
Argentina,10673.483731998416,8.662743425940327,24.837137059612164,79.28657259999086,7.957141610590019,2023-02-01,2023,2,1,1,9.275611474585261
Argentina,10632.036255593126,8.67511517333061,25.158714876970954,79.91837630233209,7.942613947944057,2023-03-01,2023,3,1,1,9.27172106136907
Argentina,10641.832099980258,7.955330805264757,25.077133041632564,79.54829256881389,7.9772464197775,2023-04-01,2023,4,1,1,9.27264190228758
Argentina,10537.6514994315,9.10547269510655,25.03929851988937,80.16576260744226,7.964696240961201,2023-05-01,2023,5,1,1,9.262804872679768
Argentina,10621.706046330075,9.039644023468135,25.119607202524033,79.92544133924574,7.868228758239958,2023-06-01,2023,6,1,1,9.270749068960654
Argentina,10585.483877819339,9.061652560014767,25.036327386485016,79.65054233833428,8.217731146771031,2023-07-01,2023,7,1,1,9.267333360594849
Argentina,10585.79957923704,9.278445700433217,25.481646305656433,80.12343406727594,7.90894085464053,2023-08-01,2023,8,1,1,9.267363181327978
Argentina,10617.729154144756,8.110540228294827,25.363483060002828,79.9608624995666,8.043879778760607,2023-09-01,2023,9,1,1,9.270374622300693
